"","title","approved","word","n","tf","idf","tf_idf"
"1","Veve Intel - Building into the future Veve-Verse","TRUE","research",1,0.00205338809034908,6.01175725037574,0.0123444707399913
"2","Desci China","TRUE","research",1,0.00205338809034908,6.52258287414173,0.0133933939920775
"3","Web3 For All","TRUE","education",1,0.00285714285714286,6.23490080168995,0.0178140022905427
"4","Web3 For All","TRUE","information",1,0.00355871886120996,6.23490080168995,0.0221882590807472
"5","Metaverse Builders DAO","TRUE","information",1,0.00355871886120996,6.23490080168995,0.0221882590807472
"6","DeFiSec.exposed","TRUE","information",1,0.00355871886120996,6.23490080168995,0.0221882590807472
"7","Soshow-Come to Soshow and get the first NFT asset in your life.","TRUE","information",1,0.00355871886120996,6.52258287414173,0.0232120386980133
"8","ENS Turkish Community","TRUE","information",1,0.00355871886120996,6.52258287414173,0.0232120386980133
"9","Nthpower","TRUE","information",1,0.00355871886120996,6.9280479822499,0.0246549750258004
"10","Nafi Durmus","TRUE","information",1,0.00355871886120996,6.9280479822499,0.0246549750258004
"11","Surfnetwork","TRUE","creating",1,0.00429184549356223,6.23490080168995,0.0267592309085406
"12","GalaxChat","TRUE","creating",1,0.00429184549356223,6.23490080168995,0.0267592309085406
"13","ColtonArt - Regen Art & Fundraising","TRUE","creating",1,0.00429184549356223,6.23490080168995,0.0267592309085406
"14","DAOCrossing","TRUE","organizations",1,0.00454545454545455,6.01175725037574,0.0273261693198897
"15","HERITage Non-Fungible Economy","TRUE","creating",1,0.00429184549356223,6.9280479822499,0.0297341115118021
"16","ENS + DeFi + NFT - a new SocialFi Profile for Web3","TRUE","real",1,0.00434782608695652,6.9280479822499,0.0301219477489126
"17","EVM from Scratch: A Youtube Tutorial Series","TRUE","educational",1,0.00515463917525773,6.01175725037574,0.0309884394349265
"18","Recap of the Previous Day on StarkNet","TRUE","educational",1,0.00515463917525773,6.9280479822499,0.0357115875373706
"19","InformHub.ph","TRUE","educational",1,0.00515463917525773,6.9280479822499,0.0357115875373706
"20","AURORA Developers Education - HISPANO (ADEH)","TRUE","educational",1,0.00515463917525773,6.9280479822499,0.0357115875373706
"21","EVM from Scratch: A Youtube Tutorial Series","TRUE","created",1,0.00595238095238095,6.01175725037574,0.0357842693474747
"22","ColtonArt - Regen Art & Fundraising","TRUE","created",1,0.00595238095238095,6.23490080168995,0.037112504771964
"23","StarkDeFi - Your Access Portal To Starknet","TRUE","providing",1,0.00704225352112676,5.82943569358179,0.0410523640393084
"24","DeFiSec.exposed","TRUE","providing",1,0.00704225352112676,6.23490080168995,0.0439077521245771
"25","Vitae3","TRUE","identity",1,0.00719424460431655,6.23490080168995,0.0448554014510069
"26","zkLands - Maths behind ZKPs","TRUE","proof",1,0.00757575757575758,6.01175725037574,0.0455436155331496
"27","DAOLink","TRUE","providing",1,0.00704225352112676,6.52258287414173,0.0459336822122657
"28","Crypto Decrypted","TRUE","creation",1,0.00826446280991736,5.67528501375453,0.0469031819318556
"29","ENS onboarding education and awareness.","TRUE","identity",1,0.00719424460431655,6.52258287414173,0.0469250566485017
"30","Veve Intel - Building into the future Veve-Verse","TRUE","creators",1,0.00806451612903226,6.01175725037574,0.0484819133094818
"31","Openseed Platform","TRUE","creation",1,0.00826446280991736,6.01175725037574,0.0496839442179814
"32","Evolving Space - Bringing Technical Web3 Education to Latin-America","TRUE","organization",1,0.0087719298245614,5.82943569358179,0.0511354008208929
"33","AllScan - blockchain explorer bot","TRUE","receive",1,0.00909090909090909,5.67528501375453,0.0515935001250412
"34","AfroGlobe.com","TRUE","connect",1,0.00900900900900901,5.82943569358179,0.052517438680917
"35","HairDAO Grant","TRUE","investors",1,0.00961538461538462,5.54175362113001,0.0532860925108655
"36","Trooper - Connecting gaming to the real world economy.","TRUE","cost",1,0.00900900900900901,6.01175725037574,0.0541599752286103
"37","DAOCrossing","TRUE","connect",1,0.00900900900900901,6.01175725037574,0.0541599752286103
"38","HairDAO Grant","TRUE","researchers",1,0.00980392156862745,5.54175362113001,0.0543309178542158
"39","staker-notifier","TRUE","receive",1,0.00909090909090909,6.01175725037574,0.0546523386397795
"40","Web3 For All","TRUE","organization",1,0.0087719298245614,6.23490080168995,0.0546921122955259
"41","Bu Zhi DAO - Taiwan Web3 Education","TRUE","focused",1,0.0099009900990099,5.54175362113001,0.0548688477339605
"42","Community Boosters Team","TRUE","investors",1,0.00961538461538462,5.82943569358179,0.0560522662844403
"43","ClimateCandy","TRUE","connect",1,0.00900900900900901,6.23490080168995,0.0561702774927023
"44","Veve Intel - Building into the future Veve-Verse","TRUE","active",1,0.00934579439252336,6.01175725037574,0.0561846471997733
"45","Pythagoras Ecology Works","TRUE","directly",1,0.00980392156862745,5.82943569358179,0.0571513303292332
"46","Denver Tool Library","TRUE","directly",1,0.00980392156862745,5.82943569358179,0.0571513303292332
"47","Desci China","TRUE","organization",1,0.0087719298245614,6.52258287414173,0.0572156392468573
