"","title","approved","word","n","tf","idf","tf_idf"
"1","Coffee Carbon Collective: regenerative financing for coffee farmers","FALSE","coffee",29,0.725,3.5958434720747,2.60698651725415
"2","The Most Common Exhaust Problems With Your Car (And How to Solve Them)","FALSE","combustion",18,1,3.88352554452648,3.88352554452648
"3","AbjaDAO | Translating Blockchain to Arabic","FALSE","translated",18,0.9,3.46231207945017,3.11608087150516
"4","Why You Should Hire a College Essay Editor","FALSE","editor",15,0.535714285714286,4.21999778114769,2.2607130970434
"5","The Most Common Exhaust Problems With Your Car (And How to Solve Them)","FALSE","converter",14,1,3.88352554452648,3.88352554452648
"6","Barichara Regeneration Fund  Prototyping a Bioregional Regenerative Economy","FALSE","territory",13,0.928571428571429,3.26448633612025,3.03130874068309
"7","Eigen Network","FALSE","proof",11,0.0833333333333333,5.05624580534831,0.421353817112359
"8","Everything You Should Know About Custom Rigid Boxes","FALSE","printing",10,0.37037037037037,4.21999778114769,1.56296214116581
"9","AbjaDAO | Translating Blockchain to Arabic","FALSE","dispersion",9,1,3.46231207945017,3.46231207945017
"10","AbjaDAO | Translating Blockchain to Arabic","FALSE","dictionary",9,1,3.46231207945017,3.46231207945017
"11","AbjaDAO | Translating Blockchain to Arabic","FALSE","unanswered",9,0.9,3.46231207945017,3.11608087150516
"12","AbjaDAO | Translating Blockchain to Arabic","FALSE","surveying",9,0.9,3.46231207945017,3.11608087150516
"13","Pode Crer: Tech education for marginalized youth","FALSE","enfranchising",9,0.75,1.90416746140362,1.42812559605272
"14","Coffee Carbon Collective - Pre-financing of transition to regenerative agriculture for coffee farmers","FALSE","coffee",9,0.225,4.84860644057006,1.09093644912826
"15","Everything You Should Know About Custom Rigid Boxes","FALSE","coating",8,0.888888888888889,4.21999778114769,3.75110913879795
"16","AbjaDAO | Translating Blockchain to Arabic","FALSE","dictated",8,1,3.46231207945017,3.46231207945017
"17","AbjaDAO | Translating Blockchain to Arabic","FALSE","abbreviated",8,1,3.46231207945017,3.46231207945017
"18","SmoothDiscovery ,a  platform for discovering fair,transparent and decentralized token price.","FALSE","clearing",7,1,4.98213783319459,4.98213783319459
"19","The Benefits of Choosing Custom Product Boxes","FALSE","embossing",6,0.75,4.12468760134336,3.09351570100752
"20","Feed.xyz","FALSE","preferences",6,0.6,4.36309862478836,2.61785917487302
"21","Pode Crer: Tech education for marginalized youth","FALSE","conclusive",6,0.75,1.90416746140362,1.42812559605272
"22","Pode Crer: Tech education for marginalized youth","FALSE","allowance",6,0.75,1.90416746140362,1.42812559605272
"23","Everything You Should Know About Custom Rigid Boxes","FALSE","applied",6,0.285714285714286,4.21999778114769,1.20571365175648
"24","[Duplicated][Canceled]AdMeta","FALSE","advertising",6,0.166666666666667,5.42397058547363,0.903995097578938
"25","Building the Bridge between Web3 users and Policymakers in DC and beyond: ThreeOh DAO","FALSE","international",6,0.12,4.15545926001012,0.498655111201214
"26","milestoneBased","FALSE","investors",6,0.0576923076923077,4.4431413324619,0.256335076872802
"27","Everything You Should Know About Custom Rigid Boxes","FALSE","ons",5,0.833333333333333,4.21999778114769,3.51666481762307
"28","Infinity Wallet - The first desktop all-in-one wallet platform providing sublime accessibility to DeFi, and browser-less access to the world of Web3!","FALSE","infinity",5,0.714285714285714,4.4431413324619,3.17367238032993
"29","=%ENS UPDATES=%","FALSE","hosts",5,0.416666666666667,4.57667272508642,1.90694696878601
"30","Funding Tech Tree Bounties to Advance Ambitious Technologies","FALSE","bounty",5,0.151515151515152,4.91314496170763,0.744415903289036
"31","4EVERLAND: A Cloud Computing Platform of WEB 3.0","FALSE","computing",5,0.161290322580645,3.90762309610554,0.630261789694441
"32","Building Out Blockchain for the Renewable Energy Environment","FALSE","demand",5,0.108695652173913,4.4431413324619,0.482950144832815
