"","grant_id","approved","title","word"
"0...4","6841","FALSE","4C Labs","hopes"
"0...9","6841","FALSE","4C Labs","introduction"
"0...14","6841","FALSE","4C Labs","creators"
"0...22","6841","FALSE","4C Labs","creators"
"0...32","6841","FALSE","4C Labs","minted"
"0...44","6841","FALSE","4C Labs","creators"
"0...45","6841","FALSE","4C Labs","addition"
"0...67","6841","FALSE","4C Labs","creators"
"0...77","6841","FALSE","4C Labs","creators"
"0...90","6841","FALSE","4C Labs","creating"
"0...96","6841","FALSE","4C Labs","publication"
"1...156","6842","TRUE","C# library for accessing NFTs on mobile devices","objects"
"1...157","6842","TRUE","C# library for accessing NFTs on mobile devices","difference"
"1...169","6842","TRUE","C# library for accessing NFTs on mobile devices","allowing"
"1...193","6842","TRUE","C# library for accessing NFTs on mobile devices","expand"
"2...197","6843","FALSE","VDAO - First VC DAO","investing"
"2...199","6843","FALSE","VDAO - First VC DAO","investments"
"3...212","6844","FALSE","Unisound: Web3.0 sample pack marketplace for music producers","professional"
"4...241","6845","FALSE","Univerz.io decentralized - marketplace platform","implemented"
"4...269","6845","FALSE","Univerz.io decentralized - marketplace platform","supported"
"4...274","6845","FALSE","Univerz.io decentralized - marketplace platform","interacts"
"4...286","6845","FALSE","Univerz.io decentralized - marketplace platform","improves"
"4...287","6845","FALSE","Univerz.io decentralized - marketplace platform","concepts"
"4...294","6845","FALSE","Univerz.io decentralized - marketplace platform","providing"
"4...299","6845","FALSE","Univerz.io decentralized - marketplace platform","reviews"
"4...301","6845","FALSE","Univerz.io decentralized - marketplace platform","history"
"4...302","6845","FALSE","Univerz.io decentralized - marketplace platform","witness"
"4...319","6845","FALSE","Univerz.io decentralized - marketplace platform","interacted"
"4...327","6845","FALSE","Univerz.io decentralized - marketplace platform","benefits"
"4...329","6845","FALSE","Univerz.io decentralized - marketplace platform","review"
"4...335","6845","FALSE","Univerz.io decentralized - marketplace platform","honesty"
"4...338","6845","FALSE","Univerz.io decentralized - marketplace platform","review"
"4...343","6845","FALSE","Univerz.io decentralized - marketplace platform","reviews"
"4...346","6845","FALSE","Univerz.io decentralized - marketplace platform","implemented"
"4...348","6845","FALSE","Univerz.io decentralized - marketplace platform","active"
"4...354","6845","FALSE","Univerz.io decentralized - marketplace platform","directly"
"4...357","6845","FALSE","Univerz.io decentralized - marketplace platform","consists"
"4...365","6845","FALSE","Univerz.io decentralized - marketplace platform","inherent"
"4...368","6845","FALSE","Univerz.io decentralized - marketplace platform","active"
"4...376","6845","FALSE","Univerz.io decentralized - marketplace platform","creation"
"4...379","6845","FALSE","Univerz.io decentralized - marketplace platform","arguably"
"5...397","6846","FALSE","Daemons","introducing"
"5...400","6846","FALSE","Daemons","advanced"
"5...406","6846","FALSE","Daemons","related"
"5...407","6846","FALSE","Daemons","actions"
"5...409","6846","FALSE","Daemons","conditions"
"5...410","6846","FALSE","Daemons","called"
"5...414","6846","FALSE","Daemons","actions"
"5...415","6846","FALSE","Daemons","related"
"5...419","6846","FALSE","Daemons","condition"
"5...422","6846","FALSE","Daemons","condition"
"5...423","6846","FALSE","Daemons","satisfied"
"5...425","6846","FALSE","Daemons","retrieved"
"5...426","6846","FALSE","Daemons","executed"
"5...427","6846","FALSE","Daemons","fashion"
"5...438","6846","FALSE","Daemons","coding"
"5...442","6846","FALSE","Daemons","actions"
"5...445","6846","FALSE","Daemons","actions"
"5...449","6846","FALSE","Daemons","friction"
"5...460","6846","FALSE","Daemons","sophisticated"
"5...461","6846","FALSE","Daemons","software"
"5...473","6846","FALSE","Daemons","actions"
"5...475","6846","FALSE","Daemons","inspired"
"5...497","6846","FALSE","Daemons","software"
"5...503","6846","FALSE","Daemons","instantly"
"5...504","6846","FALSE","Daemons","hassle"
"5...522","6846","FALSE","Daemons","removing"
"5...546","6846","FALSE","Daemons","reading"
"5...554","6846","FALSE","Daemons","information"
"6...568","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","python"
"6...572","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","coming"
"6...608","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","experienced"
"6...613","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","traditionally"
"6...616","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","bounty"
"6...624","6847","TRUE","zkMachineLearning - an end-to-end platform to bridge Web2 developers into Web3","performance"
